id,element_id,charge
Ac_p3,Ac,3
Ag_p1,Ag,1
Al_p3,Al,3
Am_p3,Am,3
Ar_p0,Ar,0
As_p5,As,5
At_p7,At,7
Au_p1,Au,1
B_p3,B,3
Ba_p2,Ba,2
Be_p2,Be,2
Bi_p3,Bi,3
Bk_p3,Bk,3
Br_m1,Br,-1
C_p4,C,4
Ca_p2,Ca,2
Cd_p2,Cd,2
Ce_p4,Ce,4
Cf_p3,Cf,3
Cl_m1,Cl,-1
Cm_p3,Cm,3
Co_p3,Co,3
Cr_p3,Cr,3
Cs_p1,Cs,1
Cu_p2,Cu,2
Db_p5,Db,5
Dy_p3,Dy,3
Er_p3,Er,3
Eu_p3,Eu,3
Es_p3,Es,3
F_m1,F,-1
Fe_p3,Fe,3
Fm_p3,Fm,3
Fr_p1,Fr,1
Ga_p3,Ga,3
Gd_p3,Gd,3
Ge_p4,Ge,4
H_p1,H,1
He_p0,He,0
Hf_p4,Hf,4
Hg_p2,Hg,2
Ho_p3,Ho,3
I_m1,I,-1
In_p3,In,3
Ir_p3,Ir,3
K_p1,K,1
Kr_p0,Kr,0
La_p3,La,3
Li_p1,Li,1
Lu_p3,Lu,3
Mg_p2,Mg,2
Mn_p3,Mn,3
Mo_p6,Mo,6
N_m3,N,-3
Na_p1,Na,1
Nb_p5,Nb,5
Nd_p3,Nd,3
Ne_p0,Ne,0
Ni_p2,Ni,2
No_p2,No,2
Np_p5,Np,5
O_m2,O,-2
Os_p4,Os,4
P_p5,P,5
Pa_p5,Pa,5
Pb_p2,Pb,2
Pd_p2,Pd,2
Pm_p3,Pm,3
Po_p4,Po,4
Pr_p3,Pr,3
Pt_p2,Pt,2
Pu_p4,Pu,4
Ra_p2,Ra,2
Rb_p1,Rb,1
Re_p4,Re,4
Rf_p4,Rf,4
Rh_p3,Rh,3
Rn_p0,Rn,0
Ru_p3,Ru,3
S_m2,S,-2
Sb_p3,Sb,3
Sc_p5,Sc,5
Se_p4,Se,4
Si_p4,Si,4
Sm_p3,Sm,3
Sn_p4,Sn,4
Sr_p2,Sr,2
Ta_p5,Ta,5
Tb_p3,Tb,3
Tc_p4,Tc,4
Te_p4,Te,4
Th_p4,Th,4
Ti_p4,Ti,4
Tl_p3,Tl,3
Tm_p3,Tm,3
U_p4,U,4
V_p5,V,5
W_p6,W,6
Xe_p8,Xe,8
Y_p3,Y,3
Yb_p3,Yb,3
Zn_p2,Zn,2
Zr_p4,Zr,4